Date,Buy,Sell
2016/05/15,32.426,32.826
2016/05/16,32.505,32.905
2016/05/17,32.43,32.83
2016/05/18,32.505,32.905
2016/05/19,32.602,33.002
2016/05/20,32.552,32.952
2016/05/21,32.552,32.952
2016/05/22,32.552,32.952
2016/05/23,32.456,32.856
2016/05/24,32.52,32.92
2016/05/25,32.452,32.852
2016/05/26,32.376,32.776
2016/05/27,32.328,32.728
2016/05/28,32.328,32.728
2016/05/29,32.328,32.728
2016/05/30,32.48,32.88
2016/05/31,32.43,32.83
2016/06/01,32.422,32.822
2016/06/02,32.412,32.812
2016/06/03,32.405,32.805
2016/06/04,32.306,32.706
2016/06/05,32.306,32.706
2016/06/06,32.202,32.602
2016/06/07,32.139,32.539
2016/06/08,32.025,32.425
2016/06/09,32.025,32.425
2016/06/10,32.025,32.425
2016/06/11,32.025,32.425
2016/06/12,32.025,32.425
2016/06/13,32.235,32.635
2016/06/14,32.223,32.623
2016/06/15,32.241,32.641
2016/06/16,32.191,32.591
2016/06/17,32.185,32.585
2016/06/18,32.185,32.585
2016/06/19,32.185,32.585
2016/06/20,32.056,32.456
2016/06/21,32.058,32.458
2016/06/22,32.021,32.421
2016/06/23,31.99,32.39
2016/06/24,32.302,32.702
2016/06/25,32.302,32.702
2016/06/26,32.302,32.702
2016/06/27,32.333,32.733
2016/06/28,32.235,32.635
2016/06/29,32.143,32.543
2016/06/30,32.086,32.486
2016/07/01,32.018,32.418
2016/07/02,32.018,32.418
2016/07/03,32.018,32.418
2016/07/04,32.008,32.408
2016/07/05,32.082,32.482
2016/07/06,32.207,32.607
2016/07/07,32.106,32.506
2016/07/08,32.099,32.499
2016/07/09,32.099,32.499
2016/07/10,32.099,32.499
2016/07/11,32.015,32.415
2016/07/12,32.02,32.42
2016/07/13,31.983,32.383
2016/07/14,31.873,32.273
2016/07/15,31.79,32.19
2016/07/16,31.79,32.19
2016/07/17,31.79,32.19
2016/07/18,31.824,32.224
2016/07/19,31.791,32.191
2016/07/20,31.851,32.251
2016/07/21,31.86,32.26
2016/07/22,31.87,32.27
2016/07/23,31.87,32.27
2016/07/24,31.87,32.27
2016/07/25,31.94,32.34
2016/07/26,31.906,32.306
2016/07/27,31.868,32.268
2016/07/28,31.755,32.155
2016/07/29,31.726,32.126
2016/07/30,31.726,32.126
2016/07/31,31.726,32.126
2016/08/01,31.44,31.84
2016/08/02,31.48,31.88
2016/08/03,31.55,31.95
2016/08/04,31.51,31.91
2016/08/05,31.37,31.77
2016/08/06,31.37,31.77
2016/08/07,31.37,31.77
2016/08/08,31.312,31.712
2016/08/09,31.255,31.655
2016/08/10,31.025,31.425
2016/08/11,31.126,31.526
2016/08/12,31.203,31.603
2016/08/13,31.203,31.603
2016/08/14,31.203,31.603
2016/08/15,31.17,31.57
2016/08/16,31.08,31.48
2016/08/17,31.252,31.652
2016/08/18,31.21,31.61
2016/08/19,31.418,31.818
2016/08/20,31.418,31.818
2016/08/21,31.418,31.818
2016/08/22,31.62,32.02
2016/08/23,31.506,31.906
2016/08/24,31.572,31.972
2016/08/25,31.47,31.87
2016/08/26,31.472,31.872
2016/08/27,31.472,31.872
2016/08/28,31.472,31.872
2016/08/29,31.601,32.001
2016/08/30,31.52,31.92
2016/08/31,31.526,31.926
2016/09/01,31.536,31.936
2016/09/02,31.503,31.903
2016/09/03,31.503,31.903
2016/09/04,31.503,31.903
2016/09/05,31.306,31.706
2016/09/06,31.212,31.612
2016/09/07,31.04,31.44
2016/09/08,31.086,31.486
2016/09/09,31.31,31.71
2016/09/10,31.352,31.752
2016/09/11,31.352,31.752
2016/09/12,31.516,31.916
2016/09/13,31.506,31.906
2016/09/14,31.489,31.889
2016/09/15,31.489,31.889
2016/09/16,31.489,31.889
2016/09/17,31.489,31.889
2016/09/18,31.489,31.889
2016/09/19,31.25,31.65
2016/09/20,31.167,31.567
2016/09/21,31.23,31.63
2016/09/22,31.2,31.6
