,Open,High,Low,Close,Volume,Date
2013-05-28 13:30:00,85.3,86.5,83.5,84.1,3857000.0,2013-05-28 13:30:00
2013-05-29 13:30:00,85.0,85.0,83.0,83.3,1919000.0,2013-05-29 13:30:00
2013-05-30 13:30:00,83.0,86.1,83.0,84.3,2943000.0,2013-05-30 13:30:00
2013-05-31 13:30:00,85.5,88.7,84.5,86.8,3840000.0,2013-05-31 13:30:00
2013-06-03 13:30:00,86.0,87.0,85.0,85.5,1686000.0,2013-06-03 13:30:00
2013-06-04 13:30:00,85.2,86.7,84.0,84.0,1595000.0,2013-06-04 13:30:00
2013-06-05 13:30:00,83.1,85.6,83.1,83.6,1440000.0,2013-06-05 13:30:00
2013-06-06 13:30:00,83.0,85.2,83.0,83.6,1319000.0,2013-06-06 13:30:00
2013-06-07 13:30:00,84.1,86.5,82.2,83.6,4234000.0,2013-06-07 13:30:00
2013-06-10 13:30:00,86.0,86.5,84.6,84.9,2741000.0,2013-06-10 13:30:00
2013-06-11 13:30:00,84.1,84.2,80.0,81.0,1894000.0,2013-06-11 13:30:00
2013-06-13 13:30:00,79.0,81.7,78.0,78.6,1636000.0,2013-06-13 13:30:00
2013-06-14 13:30:00,79.1,79.7,77.1,77.4,1164000.0,2013-06-14 13:30:00
2013-06-17 13:30:00,77.6,82.8,77.6,82.8,2450000.0,2013-06-17 13:30:00
2013-06-18 13:30:00,84.1,87.0,84.0,85.0,4591000.0,2013-06-18 13:30:00
2013-06-19 13:30:00,86.4,89.0,85.0,86.3,5043000.0,2013-06-19 13:30:00
2013-06-20 13:30:00,85.0,85.8,82.3,83.7,2006000.0,2013-06-20 13:30:00
2013-06-21 13:30:00,78.0,82.9,78.0,81.9,1691000.0,2013-06-21 13:30:00
2013-06-24 13:30:00,81.5,83.6,81.5,81.9,1061000.0,2013-06-24 13:30:00
2013-06-25 13:30:00,81.2,81.9,78.5,79.3,1421000.0,2013-06-25 13:30:00
2013-06-26 13:30:00,82.8,82.8,80.0,80.3,1013000.0,2013-06-26 13:30:00
2013-06-27 13:30:00,80.7,81.8,80.3,80.3,999000.0,2013-06-27 13:30:00
2013-06-28 13:30:00,80.3,80.7,78.6,78.9,1085000.0,2013-06-28 13:30:00
2013-07-01 13:30:00,79.0,80.8,78.9,80.7,505000.0,2013-07-01 13:30:00
2013-07-02 13:30:00,81.8,82.3,81.0,82.0,919000.0,2013-07-02 13:30:00
2013-07-03 13:30:00,81.8,81.8,78.3,78.6,935000.0,2013-07-03 13:30:00
2013-07-04 13:30:00,78.6,79.2,73.9,74.1,1377000.0,2013-07-04 13:30:00
2013-07-05 13:30:00,75.4,75.4,72.8,74.1,891000.0,2013-07-05 13:30:00
2013-07-08 13:30:00,72.5,75.0,72.5,72.8,1135000.0,2013-07-08 13:30:00
2013-07-09 13:30:00,72.8,73.7,72.3,73.0,638000.0,2013-07-09 13:30:00
2013-07-10 13:30:00,73.2,73.8,72.5,72.5,462000.0,2013-07-10 13:30:00
2013-07-11 13:30:00,72.4,72.5,70.7,71.0,1643000.0,2013-07-11 13:30:00
2013-07-12 13:30:00,71.0,72.9,71.0,71.8,812000.0,2013-07-12 13:30:00
2013-07-15 13:30:00,71.8,72.4,71.6,71.8,591000.0,2013-07-15 13:30:00
2013-07-16 13:30:00,72.1,74.1,72.1,72.6,1914000.0,2013-07-16 13:30:00
2013-07-17 13:30:00,73.4,73.4,72.0,72.0,505000.0,2013-07-17 13:30:00
2013-07-18 13:30:00,72.0,72.5,70.2,70.4,690000.0,2013-07-18 13:30:00
2013-07-19 13:30:00,70.4,70.8,66.6,67.3,1346000.0,2013-07-19 13:30:00
2013-07-22 13:30:00,69.4,69.4,67.4,67.9,555000.0,2013-07-22 13:30:00
2013-07-23 13:30:00,69.5,72.6,69.5,72.6,771000.0,2013-07-23 13:30:00
2013-07-24 13:30:00,73.5,74.1,73.0,73.0,3287000.0,2013-07-24 13:30:00
2013-07-25 13:30:00,72.9,73.9,72.1,72.3,1511000.0,2013-07-25 13:30:00
2013-07-26 13:30:00,72.4,74.2,72.3,72.3,1647000.0,2013-07-26 13:30:00
2013-07-29 13:30:00,72.3,73.0,70.5,70.7,454000.0,2013-07-29 13:30:00
2013-07-30 13:30:00,71.0,71.5,70.3,70.4,585000.0,2013-07-30 13:30:00
2013-07-31 13:30:00,70.4,70.8,68.1,68.7,667000.0,2013-07-31 13:30:00
2013-08-01 13:30:00,68.7,69.7,67.6,68.7,402000.0,2013-08-01 13:30:00
2013-08-02 13:30:00,69.0,69.4,68.3,68.3,397000.0,2013-08-02 13:30:00
2013-08-05 13:30:00,68.3,68.7,67.8,68.3,493000.0,2013-08-05 13:30:00
2013-08-06 13:30:00,68.0,69.9,68.0,68.8,617000.0,2013-08-06 13:30:00
2013-08-07 13:30:00,68.1,68.7,67.5,67.6,420000.0,2013-08-07 13:30:00
2013-08-08 13:30:00,68.0,68.2,67.1,67.3,417000.0,2013-08-08 13:30:00
2013-08-09 13:30:00,67.5,69.0,67.5,68.1,518000.0,2013-08-09 13:30:00
2013-08-12 13:30:00,67.7,67.7,65.5,66.1,823000.0,2013-08-12 13:30:00
2013-08-13 13:30:00,66.1,67.3,65.7,67.1,719000.0,2013-08-13 13:30:00
2013-08-14 13:30:00,66.9,67.6,66.7,67.2,319000.0,2013-08-14 13:30:00
2013-08-15 13:30:00,67.3,68.8,66.8,67.9,628000.0,2013-08-15 13:30:00
2013-08-16 13:30:00,67.2,68.6,67.2,67.8,304000.0,2013-08-16 13:30:00
2013-08-19 13:30:00,68.2,68.3,67.5,67.6,196000.0,2013-08-19 13:30:00
2013-08-20 13:30:00,67.8,68.4,66.8,67.2,484000.0,2013-08-20 13:30:00
2013-08-22 13:30:00,66.7,67.1,66.1,66.7,232000.0,2013-08-22 13:30:00
2013-08-23 13:30:00,67.0,69.6,67.0,68.3,1110000.0,2013-08-23 13:30:00
2013-08-26 13:30:00,68.8,68.8,67.7,67.7,296000.0,2013-08-26 13:30:00
2013-08-27 13:30:00,68.2,70.2,68.0,68.2,1092000.0,2013-08-27 13:30:00
2013-08-28 13:30:00,68.0,68.2,67.3,67.4,318000.0,2013-08-28 13:30:00
2013-08-29 13:30:00,67.7,68.4,67.5,67.8,356000.0,2013-08-29 13:30:00
2013-08-30 13:30:00,67.8,69.3,67.8,68.5,639000.0,2013-08-30 13:30:00
2013-09-02 13:30:00,69.0,69.0,67.8,67.9,295000.0,2013-09-02 13:30:00
2013-09-03 13:30:00,68.8,68.8,67.8,68.3,289000.0,2013-09-03 13:30:00
2013-09-04 13:30:00,68.3,68.9,68.1,68.2,361000.0,2013-09-04 13:30:00
2013-09-05 13:30:00,68.8,71.0,68.6,69.5,2012000.0,2013-09-05 13:30:00
2013-09-06 13:30:00,69.9,70.4,69.0,69.5,610000.0,2013-09-06 13:30:00
