,Open,High,Low,Close,Volume,Date
2013-05-28 13:30:00,8289.15,8303.71,8261.54,8263.05,0.0,2013-05-28 13:30:00
2013-05-29 13:30:00,8303.2,8344.21,8303.2,8337.9,0.0,2013-05-29 13:30:00
2013-05-30 13:30:00,8316.97,8316.97,8228.8,8243.29,0.0,2013-05-30 13:30:00
2013-05-31 13:30:00,8318.77,8334.44,8237.08,8254.8,0.0,2013-05-31 13:30:00
2013-06-03 13:30:00,8177.97,8225.79,8149.45,8201.02,0.0,2013-06-03 13:30:00
2013-06-04 13:30:00,8243.22,8250.17,8180.39,8191.22,0.0,2013-06-04 13:30:00
2013-06-05 13:30:00,8195.52,8216.31,8161.1,8181.91,0.0,2013-06-05 13:30:00
2013-06-06 13:30:00,8135.56,8162.25,8088.31,8096.14,0.0,2013-06-06 13:30:00
2013-06-07 13:30:00,8113.95,8146.78,8071.98,8095.2,0.0,2013-06-07 13:30:00
2013-06-10 13:30:00,8161.51,8190.87,8142.71,8160.55,0.0,2013-06-10 13:30:00
2013-06-11 13:30:00,8178.95,8178.95,8116.15,8116.15,0.0,2013-06-11 13:30:00
2013-06-13 13:30:00,8041.5,8057.33,7951.66,7951.66,0.0,2013-06-13 13:30:00
2013-06-14 13:30:00,7978.75,7989.19,7912.37,7937.74,0.0,2013-06-14 13:30:00
2013-06-17 13:30:00,7953.65,7999.43,7940.72,7992.89,0.0,2013-06-17 13:30:00
2013-06-18 13:30:00,7994.81,8024.95,7955.74,8011.02,0.0,2013-06-18 13:30:00
2013-06-19 13:30:00,8033.32,8056.19,8005.57,8007.39,0.0,2013-06-19 13:30:00
2013-06-20 13:30:00,7952.36,7962.76,7890.93,7898.91,0.0,2013-06-20 13:30:00
2013-06-21 13:30:00,7778.84,7815.79,7739.09,7793.31,0.0,2013-06-21 13:30:00
2013-06-24 13:30:00,7788.45,7815.1,7744.49,7758.03,0.0,2013-06-24 13:30:00
2013-06-25 13:30:00,7750.34,7792.27,7663.23,7663.23,0.0,2013-06-25 13:30:00
2013-06-26 13:30:00,7789.34,7821.14,7742.2,7784.8,0.0,2013-06-26 13:30:00
2013-06-27 13:30:00,7841.32,7884.13,7834.33,7883.9,0.0,2013-06-27 13:30:00
2013-06-28 13:30:00,7928.54,8062.21,7891.06,8062.21,0.0,2013-06-28 13:30:00
2013-07-01 13:30:00,8011.95,8063.47,7974.15,8036.0,0.0,2013-07-01 13:30:00
