券商買賣股票成交價量資訊
股票代碼,="2454"
序號,券商,價格,買進股數,賣出股數,,序號,券商,價格,買進股數,賣出股數
1,1021合庫台中,250.00,0,860,,2,1022合庫台南,250.00,30,0 
3,1023合庫高雄,250.50,0,1000,,4,1023合庫高雄,252.50,1000,0 
5,1024合庫嘉義,252.00,0,1000,,6,1025合庫基隆,251.00,1000,0 
7,1028合庫彰化,249.50,0,1000,,8,1028合庫彰化,251.50,1000,0 
9,1029合庫鳳山,249.50,1000,0,,10,1029合庫鳳山,252.50,0,1000 
11,102C合庫自強,249.50,0,1000,,12,102C合庫自強,250.00,10,0 
13,102C合庫自強,252.00,0,2000,,14,102E合庫桃園,251.50,0,5000 
15,1030土　　銀,250.00,215,0,,16,1034土銀嘉義,250.00,200,0 
17,1039土銀士林,250.00,350,0,,18,103A土銀建國,250.00,0,1000 
19,1040臺    銀,250.00,20,0,,20,1041臺銀鳳山,250.00,1012,0 
21,1042臺銀臺南,250.00,1000,1000,,22,1042臺銀臺南,250.50,0,1000 
23,1042臺銀臺南,251.50,0,1000,,24,1043臺銀民權,250.00,1010,0 
25,1043臺銀民權,251.00,1000,1000,,26,1045臺銀新竹,250.00,540,0 
27,104A臺銀臺中,250.00,100,1000,,28,104A臺銀臺中,251.50,1000,0 
29,104C臺銀高雄,251.50,0,1000,,30,104D臺銀金山,250.00,0,1260 
31,104D臺銀金山,251.50,0,1000,,32,1110企    銀,251.50,1000,0 
33,1111企銀台中,251.00,5000,0,,34,1114企銀嘉義,251.00,10000,0 
35,1115企銀太平,250.00,0,2000,,36,111E企銀桃園,249.50,1000,0 
37,1160日    盛,250.00,5000,0,,38,1160日    盛,251.50,1000,0 
39,1161日盛忠孝,250.00,0,2000,,40,1163日盛台中,249.50,0,1000 
41,1163日盛台中,250.00,0,1000,,42,1163日盛台中,251.50,2000,0 
43,1165日盛板橋,250.00,0,1000,,44,1165日盛板橋,251.50,1000,0 
45,1168日盛高雄,252.00,1000,0,,46,1169日盛士林,249.50,0,1000 
47,1169日盛士林,250.00,0,1000,,48,1169日盛士林,250.50,1000,0 
49,1169日盛士林,251.50,1000,0,,50,116A日盛木柵,251.00,0,4000 
51,116A日盛木柵,251.50,0,3000,,52,116b日盛園區,250.00,0,10000 
53,116C日盛八德,250.00,50,0,,54,116E日盛三重,250.00,0,22000 
55,116f日盛復興,251.50,0,10000,,56,116F日盛員林,249.50,2000,0 
57,116F日盛員林,250.00,12,10000,,58,116F日盛員林,250.50,1000,0 
59,116F日盛員林,251.50,1000,0,,60,116i日盛樹林,250.00,0,1000 
61,116i日盛樹林,252.00,1000,0,,62,116J日盛中山,249.50,0,1000 
63,116J日盛中山,251.50,0,1000,,64,116k日盛北高,249.50,1000,0 
65,116K日盛花蓮,249.50,1000,0,,66,116K日盛花蓮,252.50,0,1000 
67,116N日盛永康,251.50,0,1000,,68,116P日盛信義,250.00,0,30 
69,116r日盛文化,249.50,1000,0,,70,116S日盛新莊,251.00,0,1000 
71,116V日盛斗六,249.50,1000,0,,72,116W日盛鳳山,251.50,0,2000 
73,116X日盛宜蘭,249.50,0,4000,,74,116Z日盛中和,250.00,0,1000 
75,1260宏    遠,250.50,1000,0,,76,1261宏遠民生,249.50,0,1000 
